Brand,Dealer Name Thai,Location,Dealer Name Eng,Location,Tel,Map,Latitude,Longitude
HONDA,บริษัท ฮอนด้า แสงหงส์ โอ.เอช. จำกัด,1658/1 ถนนพระราม 4 แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,"Honda Saenghong O.H. Co.,Ltd.","1658/1 Rama 4 Road, Khlongtoey, Khlongtoey, Bangkok 10110",0 2671 9990,https://goo.gl/maps/2eV4muK2zf12,13.71897235,100.563
HONDA,บริษัท ฮอนด้า แสงหงส์ โอ.เอช. จำกัด (ปทุมธานี),69 หมู่ที่ 3 ถนนกรุงเทพ-ปทุมธานี ตำบลบ้านฉาง อำเภอเมืองปทุมธานี จังหวัดปทุมธานี 12000,"Honda Saenghong O.H. Co.,Ltd.","69 Moo 3, Bangkok-Pathumthani Road, Banchang, Mueang Pathumthani, Pathumthani 12000",0 2581 7300,https://maps.app.goo.gl/swrnhX1MH5oq8Ckw8,13.72217556,100.5630325
HONDA,บริษัท ฮอนด้าคาร์ส์ เทพารักษ์ จำกัด,199/2 หมู่ที่ 8 ถนนเทพารักษ์ ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ รหัสไปรษณีย์ 10270,"Honda Cars Thepharak Co., Ltd.","199/2 Moo 8 Thapharak Road, Thepharak, Mueang Samutprakarn, Samutprakarn 10270",0 2757 5730,https://goo.gl/maps/dvePLApP526sjd1U9,13.61205788,100.6684142
HONDA,บริษัท เตชะจรัส ฮอนด้า ออโตโมบิล จำกัด,2701/8-9 ถนนลาดพร้าว แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,"Taechajarud Honda Automobile Co., Ltd.","2701/8-9 Latphrao, Khlong Chaokhun Sing, Wangthonglang, Bangkok 10310",0 2935 0000,https://goo.gl/maps/itzJ62eUJ892,13.77827802,100.6242876
HONDA,บริษัท เท็น ฮอนด้า ออโตโมบิล จำกัด,"41/41-42,45,54 หมู่ที่ 3 ตำบลราชาเทวะ อำเภอบางพลี จังหวัดสมุทรปราการ 10540","Ten Honda Automobile Co., Ltd.","41/41-42,45,54 Moo 3, Rachathewa, Bangphli, Samutprakarn 10540",0 2312 4444,https://goo.gl/maps/LZRGR9ZwfvC2,13.65621199,100.7168163
HONDA,บริษัท เพชรบุรีตัดใหม่ ฮอนด้าคาร์ส์ (1994) จำกัด,1757 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,"New Petchburi Honda Cars (1994) Co., Ltd.","1757 Petchburi Road, Bangkapi, Huaikhwang, Bangkok 10310",0 2652 9282,https://goo.gl/maps/U7wPXycBTrG2,13.74930294,100.564237
HONDA,บริษัท เมโทร ฮอนด้า ออโตโมบิล จำกัด,111 ถนนสายไหม ซอย 72 แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,"Metro Honda Automobile Co., Ltd.","111 Sai Mai Rd, Khwaeng Sai Mai, Sai Mai, Bangkok 10220",0 2021 2000,https://goo.gl/maps/Abp96eBUBrk,13.92144433,100.6738611
HONDA,บริษัท เวลโกรว์ ฮอนด้า ออโตโมบิล จำกัด,999 หมู่ที่ 5 ถนนบางนา-ตราด กม.35 ตำบลบางพลีน้อย อำเภอบางบ่อ จังหวัดสมุทรปราการ 10560,"Wellgrow Honda Automobile Co., Ltd.","999 Moo.5 Bangna-Trad Km.35 Rd., Bangplee noi, Bangbo, Samutprakarn 10560",0 2338 8888,https://goo.gl/maps/NzzzwMA2eC62,13.5720677,100.9113671
HONDA,บริษัท เอกอินทรา ฮอนด้า ออโตโมบิล จำกัด,265 ถนนประดิษฐ์มนูธรรม แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,"Ek Intra Honda Automobile Co., Ltd.","265 Praditmanutham Road, Latphrao, Latphrao, Bangkok 10230",0 2553 8000,https://goo.gl/maps/51uRaW8RXRR2,13.81435769,100.6212689
HONDA,บริษัท เอชซีเอ็น ฮอนด้า ออโตโมบิล จำกัด,4/10-11 ถนนรัตนาธิเบศร์ ตำบลบางกระสอ อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000,"HCN Honda automobile Co., Ltd.","4/10-11 Rattanathibet Road, Bangkraso, Mueang Nonthaburi, Nonthaburi 11000",0 2591 7733,https://goo.gl/maps/ZtrucstZK7M2,13.86240273,100.5044527
HONDA,บริษัท เอชซีเอ็น ฮอนด้า ออโตโมบิล จำกัด (สาขา ติวานนท์),109 ซอยภักดีกุล ถนนติวานนท์ ตำบลบางกระสอ อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000,"HCN Honda automobile Co., Ltd. (Tiwanon Branch)","109 Soi Pakdikul Tiwanon Road, Bangkrasor, Mueang Nonthaburi, Nonthaburi 11000",0 2580 2790,https://goo.gl/maps/2FCfAeU8VLS2,13.87488822,100.5157287
HONDA,บริษัท เอชซีเอ็น ฮอนด้า ออโตโมบิล จำกัด (สาขา พระราม 5),88/8 ถนนนครอินทร์ ตำบลบางไผ่ อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000,"HCN Honda automobile Co., Ltd. (Praram 5 Branch)","88/8 Nakhon In Road, Bangphai, Mueang, Nonthaburi 11000",0 2447 5555,https://goo.gl/maps/rcQAUTzR7Tk,13.82689456,100.4845501
HONDA,บริษัท เอที ฮอนด้า ออโตโมบิล (กำแพงแสน) จำกัด,124 หมู่ที่ 1 ตำบลทุ่งกระพังโหม อำเภอกำแพงแสน จังหวัดนครปฐม 73140,"AT Honda Automobile (Kamphaengsean) Co., Ltd.","124 Moo 1, Thung Kraphang Hom, Kamphaeng Saen District, Nakhon Pathom 73140",0 3428 1345,https://goo.gl/maps/7yqMSG9VWWP2,13.99496507,99.99507453
